id_petrosur;fecha;local;combustible;empresa;volumen
1;01/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
2;02/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
3;03/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
4;04/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
5;05/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
6;06/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
7;07/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
8;08/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
9;09/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
10;10/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
11;11/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
12;12/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
13;13/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
14;14/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
15;15/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
16;16/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
17;17/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
18;18/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
19;19/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
20;20/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
21;21/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
22;22/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
23;23/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
24;24/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
25;25/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
26;26/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
27;27/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
28;28/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
29;29/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
30;30/01/23;21 PROYECTADAS;ACTIVA NAFTA 92;PETROSUR;4417.657891
